"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","833","Test Squash de connexion et gestion des erreurs","chromium","Thu Apr 03 08:18:58 UTC 2025","passed","Thu Apr 03 08:18:59 UTC 2025","","login-fail.spec.ts","",""
"","985","Test de connexion","firefox","Thu Apr 03 08:19:03 UTC 2025","passed","Thu Apr 03 08:19:04 UTC 2025","","login.spec.ts","",""
"","760","doit permettre à un utilisateur de se connecter","chromium","Thu Apr 03 08:18:58 UTC 2025","passed","Thu Apr 03 08:18:59 UTC 2025","","app.spec.ts","",""
"","665","Connexion avec un utilisateur valide","chromium","Thu Apr 03 08:18:59 UTC 2025","passed","Thu Apr 03 08:19:00 UTC 2025","Tests E2E - Application Angular","test.spec.ts","",""
"","556","Vérification du tableau de bord (Home)","firefox","Thu Apr 03 08:19:04 UTC 2025","passed","Thu Apr 03 08:19:05 UTC 2025","Tests E2E - Application Angular","test.spec.ts","",""
"","1914","doit permettre à un utilisateur de se connecter","firefox","Thu Apr 03 08:19:00 UTC 2025","passed","Thu Apr 03 08:19:02 UTC 2025","","app.spec.ts","",""
"","477","Vérification du tableau de bord (Home)","chromium","Thu Apr 03 08:19:00 UTC 2025","passed","Thu Apr 03 08:19:00 UTC 2025","Tests E2E - Application Angular","test.spec.ts","",""
"","2094","Test Squash de connexion et gestion des erreurs","firefox","Thu Apr 03 08:19:01 UTC 2025","passed","Thu Apr 03 08:19:03 UTC 2025","","login-fail.spec.ts","",""
"","700","Test de connexion","chromium","Thu Apr 03 08:18:59 UTC 2025","passed","Thu Apr 03 08:19:00 UTC 2025","","login.spec.ts","",""
"","808","Connexion avec un utilisateur valide","firefox","Thu Apr 03 08:19:04 UTC 2025","passed","Thu Apr 03 08:19:04 UTC 2025","Tests E2E - Application Angular","test.spec.ts","",""
